Year Reported to CDP,Account Number,Organization,City,Country,,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update,Water 2014 - Number of drivers,City,lon,lat,Per capita Emissions (tonnes),Country total emissions 2020 (tonnes)
2019,35475,City of Calgary,Calgary,Canada,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),This is the second year using this protocol. The inventory was completed to a BASIC level.,No,"CH4, CO2, N20",,,,,,,11348646,7091401,168857,18438546,18607403,Increased,Population increase,,1267344,2018,POINT (-114.071 51.0486),2020-01-12T04:30:42.857,21,POINT,-114.071,51.0486,14.54896697,737274611.1
2019,55800,City of Cambridge,"Cambridge, MA",United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2012-01-01 - 2012-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,,,,1462236,,,,,109694,2014,POINT (-93.3273 45.601),2020-01-12T04:30:42.857,46,POINT,-93.3273,45.601,13.33013656,6718634480
2019,35858,City of Cape Town,Cape Town,South Africa,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,9499498.21,11662205.03,1232606.95,21145125.41,22377732.36,Decreased,Other: Decline in electricity-related emissions and total liquid fuels sales.,,4223565,2017,POINT (18.4239 -33.9253),2020-01-12T04:30:42.857,,POINT,18.4239,-33.9253,5.006463831,526818555.2
2018,35858,City of Cape Town,Cape Town,South Africa,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,9701575,12368661,1178075,21509138,22687212,Increased,Increased energy/electricity consumption,,4174510,2017,POINT (18.4239 -33.9253),2020-01-12T04:30:40.780,,POINT,18.4239,-33.9253,5.152494065,526818555.2
2018,31186,Changwon City,Changwon,Republic of Korea,#N/A,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,4652219,5605221,,10257440,,Increased,Increased energy/electricity consumption,,1072657,2017,POINT (126.949 35.1542),2020-01-12T04:30:40.780,,POINT,126.949,35.1542,9.562646773,#N/A
2019,59545,"City of Charlottesville, VA",Charlottesville,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),No comment,No,"CH4, CO2, N20",,,,,,,172555,171240,0,343796,0,Decreased,"Other: Behavioral Change, Reduced Emissions from Electric Grid, and Increased Fuel Efficiency of Vehicles.",,48117,2018,POINT (-78.4767 38.0293),2020-01-12T04:30:42.857,,POINT,-78.4767,38.0293,7.145000727,6718634480
2018,59545,"City of Charlottesville, VA",Charlottesville,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,172555,171240,0,343796,0,Decreased,Behavioural change,,46912,2016,POINT (-78.4767 38.0293),2020-01-12T04:30:40.780,,POINT,-78.4767,38.0293,7.328530014,6718634480
2018,35905,Corporation of Chennai,Chennai,India,India,South and West Asia,"CDP Cities, C40",public,Yes,2015-04-01 - 2016-03-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,10970640,8345294,1419,19317353,19317353,This is our first year of calculation,,,7600000,2016,POINT (80.2425 13.0992),2020-01-12T04:30:40.780,,POINT,80.2425,13.0992,2.541756974,3438509430
2019,3203,City of Chicago,Chicago,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,16784486,14766295,1100599,32651379,45374422,Decreased,Policy change,,2705994,2018,POINT (-87.6298 41.8781),2020-01-12T04:30:42.857,42,POINT,-87.6298,41.8781,12.06631611,6718634480
2018,3203,City of Chicago,Chicago,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,16784486,14766295,1100599,32651379,,Decreased,Policy change,,2714017,2016,POINT (-87.6298 41.8781),2020-01-12T04:30:40.780,42,POINT,-87.6298,41.8781,12.03064646,6718634480
2018,50562,City of Chula Vista,Chula Vista,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,884432.84,259191.29,67245.69,1210869.82,,Decreased,Technological change,,265070,2016,POINT (-117.084 32.64),2020-01-12T04:30:40.780,,POINT,-117.084,32.64,4.568113404,6718634480
2018,35857,City of Cincinnati,Cincinnati,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,4346533,3251940,,7600000,,Stayed the same,No new inventory to report,,298800,2016,POINT (-84.512 39.1031),2020-01-12T04:30:40.780,46,POINT,-84.512,39.1031,25.43507363,6718634480
2019,35857,City of Cincinnati,Cincinnati,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,4346533,3251940,0,7598473,0,Decreased,Policy change,,301301,2017,POINT (-84.512 39.1031),2020-01-12T04:30:42.857,46,POINT,-84.512,39.1031,25.21887747,6718634480
2018,31109,City of Melbourne,City of Melbourne,Australia,Australia,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,955783,3448994,644485,4678193,,Decreased,Change in data collection methods,,151176,2017,POINT (144.963 -37.8141),2020-01-12T04:30:40.780,,POINT,144.963,-37.8141,30.94534185,556624251.1
2018,31114,City of Sydney,City of Sydney,Australia,Australia,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-07-01 - 2017-06-30,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,316348,3005794,1311356,3717748,4127984,Decreased,Behavioural change,,233219,2017,POINT (151.207 -33.8675),2020-01-12T04:30:40.780,,POINT,151.207,-33.8675,15.94101681,556624251.1
2019,31114,City of Sydney,City of Sydney,Australia,Australia,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-07-01 - 2018-06-30,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,0,2896137.46,1368268.15,3677319,4150582.53,Decreased,Behavioural change,,240229,2018,POINT (151.207 -33.8675),2020-01-12T04:30:42.857,,POINT,151.207,-33.8675,15.30755654,556624251.1
2018,35859,City of Cleveland,Cleveland,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,8929029,3076598,536417,7846700,1254024,Decreased,Technological change,,396815,2010,POINT (-81.6944 41.4993),2020-01-12T04:30:40.780,42,POINT,-81.6944,41.4993,19.77420208,6718634480
2018,54100,"City of Columbia, MO","Columbia, MO",United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,900655,1534933,0,2435589.11,,Increased,Population increase,,119098,2017,POINT (-92.3341 38.9517),2020-01-12T04:30:40.780,46,POINT,-92.3341,38.9517,20.45029396,6718634480
2018,43910,City of Columbus,Columbus,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,5340340,4539586,749215.2,10629141,10629141,Decreased,Behavioural change,,860090,2016,POINT (-82.9988 39.9612),2020-01-12T04:30:40.780,46,POINT,-82.9988,39.9612,12.35817298,6718634480
2019,43910,City of Columbus,Columbus,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Basic Reporting.,No,"CH4, CO2, N20",,,,,,,5434813,5088528,1027277,10848255,11550618,Increased,Increased energy/electricity consumption,,892533,2019,POINT (-82.9988 39.9612),2020-01-12T04:30:42.857,46,POINT,-82.9988,39.9612,12.15445815,6718634480
2018,64014,City of Cupertino,Cupertino,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,154415,54382,86200,244943,,Decreased,Policy change,,60777,2017,POINT (-122.032 37.323),2020-01-12T04:30:40.780,,POINT,-122.032,37.323,4.030192342,6718634480
2019,31156,Municipality of Curitiba,Curitiba,Brazil,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,3885871,368882,90910,4345663,0,Decreased,Technological change,,1751907,2010,POINT (-49.2647 -25.4311),2020-01-12T04:30:42.857,213,POINT,-49.2647,-25.4311,2.480532928,1105067347
2018,31156,Municipality of Curitiba,Curitiba,Brazil,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3240379,410467,1271752,4421196,4422598,Increased,Increased energy/electricity consumption,,1751907,2010,POINT (-49.2647 -25.4311),2020-01-12T04:30:40.780,213,POINT,-49.2647,-25.4311,2.523647659,1105067347
2018,32550,City of Denver,Denver,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3519846,4120658,642517,8238021,0,Decreased,Technological change,,693292,2016,POINT (-104.985 39.7376),2020-01-12T04:30:40.780,46,POINT,-104.985,39.7376,11.88246944,6718634480
2018,35863,City of Durban,Durban,South Africa,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,12088612,8975888,193391,22154154,50145983,Increased,Improved data accuracy,,38201740,2016,POINT (31.0218 -29.8587),2020-01-12T04:30:40.780,,POINT,31.0218,-29.8587,0.57992526,526818555.2
2018,58868,Regional Municipality of Durham,Durham,Canada,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,6140123,284629,432998,6857858,6857878,Decreased,Behavioural change,,673070,2017,POINT (-78.9288 43.9368),2020-01-12T04:30:40.780,42,POINT,-78.9288,43.9368,10.1889224,737274611.1
2018,58590,"City of Easton, PA",Easton,United States,United States,North America,CDP Cities,public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,199041,145329,,344370,344370,Decreased,Change in weather conditions,,26996,2017,POINT (-75.2207 40.6884),2020-01-12T04:30:40.780,,POINT,-75.2207,40.6884,12.75633427,6718634480
2019,43912,City of Edmonton,Edmonton,Canada,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Completing the inventory involves acquiring the total natural gas and electricity used by all residents, industry, institutions, and commercial properties within the city's boundaries from the primary natural gas and electricity providers. This information is provided to us in various reporting categories such as residential, commercial and industrial. We are now receiving this information at the finest level of granularity that can be provided from the utilities. Propane fuel use for transportation is taken from Statistics Canada as recorded for the Province of Alberta, which is then prorated according to the population of Edmonton compared to the population of Alberta. The diesel and gasoline use in litres is done in a similar fashion, but the information in this case is provided to us from the Alberta provincial government. This information is further adjusted by provincial registration data. The natural gas consumption in vehicles is received directly from the natural gas distributor. The emission factors are taken from the 2018 National Inventory Report. The data are input manually each year into an excel spreadsheet model.",No,"CH4, CO2, N20",,,,,,,10981088,5807488,2573906,15936756,19167399,Increased,Increased energy/electricity consumption,,980000,2018,POINT (-113.491 53.5444),2020-01-12T04:30:42.857,21,POINT,-113.491,53.5444,16.26199592,737274611.1
2018,43912,City of Edmonton,Edmonton,Canada,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,10031542,6210270,2886586,15411583,18892134,Increased,Change in weather conditions,,950000,2017,POINT (-113.491 53.5444),2020-01-12T04:30:40.780,21,POINT,-113.491,53.5444,16.22271895,737274611.1
2019,62855,Egedal Municipality,Egedal,Denmark,Denmark,Europe,"CDP Cities, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),National Danish tool for calculating greenhouse gas,No,"CH4, CO2, N20",,,,,,,154185,59242,0,213427,0,Stayed the same,No new inventory to report,,42000,2015,POINT (12.2387 55.795),2020-01-12T04:30:42.857,,POINT,12.2387,55.795,5.081595238,49769171
2018,62855,Egedal Municipality,Egedal,Denmark,Denmark,Europe,CDP Cities,public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,158269,58828,0,188406.9,217098,Decreased,Technological change,,43063,2017,POINT (12.2387 55.795),2020-01-12T04:30:40.780,,POINT,12.2387,55.795,4.375145717,49769171
2018,61790,"City of Emeryville, CA",Emeryville,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,131281,25849.6,3296.97,160428,160428,Decreased,Technological change,,11994,2017,POINT (-122.285 37.8313),2020-01-12T04:30:40.780,,POINT,-122.285,37.8313,13.37568784,6718634480
2018,54409,City of Espoo,Espoo,Finland,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,903000,240000,,1143000,,Decreased,Technological change,,279044,2017,POINT (24.6559 60.2055),2020-01-12T04:30:40.780,,POINT,24.6559,60.2055,4.096128209,57098928.85
2019,54070,City of Eugene,Eugene,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20, PFCs, SF6",,,,,,,912080,725157,76972,1641401,1714208,Increased,Change in weather conditions,,165885,2016,POINT (-123.087 44.0519),2020-01-12T04:30:42.857,37,POINT,-123.087,44.0519,9.894812671,6718634480
2018,54070,City of Eugene,Eugene,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,912080,725157,76972,1641401,1714208,Increased,Change in weather conditions,,165885,2016,POINT (-123.087 44.0519),2020-01-12T04:30:40.780,37,POINT,-123.087,44.0519,9.894812671,6718634480
2018,59678,"City of Evanston, IL",Evanston,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,930563,,Decreased,Policy change,,75603,2015,POINT (-87.6898 42.0669),2020-01-12T04:30:40.780,42,POINT,-87.6898,42.0669,12.30854596,6718634480
2018,60273,Prefeitura de Extrema,Extrema,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,115719.73,16201.19,714.1,131931.01,,This is our first year of calculation,,,34344,2017,POINT (-46.328 -22.8403),2020-01-12T04:30:40.780,213,POINT,-46.328,-22.8403,3.841457314,1105067347
2018,50384,Prefeitura de Florianópolis,Florianópolis,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1358385,,,740635,2099020,,,,550000,2010,POINT (-48.5482 -27.595),2020-01-12T04:30:40.780,,POINT,-48.5482,-27.595,1.346609091,1105067347
2019,50384,Prefeitura de Florianópolis,Florianópolis,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2013-01-01 - 2013-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,CO2,,,,,,,1358385,,,740635,2099020,This is our first year of calculation,Other: Não há estrutura ou pessoal específico na atividade,,495000,2010,POINT (-48.5482 -27.595),2020-01-12T04:30:42.857,,POINT,-48.5482,-27.595,1.496232323,1105067347
2018,54066,City of Fort Collins,Fort Collins,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,984857,1094437,106039,2043293,2149332,Decreased,Change in data collection methods,,167492,2017,POINT (-105.084 40.5853),2020-01-12T04:30:40.780,46,POINT,-105.084,40.5853,12.19934683,6718634480
2018,35865,Municipality of Fortaleza,Fortaleza,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,4037064.53,522914.8795,579534.655,5139514,0,Increased,Population increase,,2627.482,2017,POINT (-48.3936 -10.7183),2020-01-12T04:30:40.780,192,POINT,-48.3936,-10.7183,1956.060593,1105067347
2018,54124,City of Fremont,Fremont,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1097979,322205,18541,1438725,1447555,Decreased,Technological change,,234962,2017,POINT (-121.989 37.5483),2020-01-12T04:30:40.780,,POINT,-121.989,37.5483,6.123224181,6718634480
2018,69834,Municipalidad de General Alvear (Mendoza),"General Alvear, Buenos Aires",Argentina,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,365148.77,30341.85,4653.97,180114.77,400144.59,This is our first year of calculation,Lack of knowledge overcome,,46429,2010,POINT (-67.6955 -34.978),2020-01-12T04:30:40.780,231,POINT,-67.6955,-34.978,3.879359237,389306260.5
2018,50650,City of Gibraltar,Gibraltar,Gibraltar,#N/A,Europe,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,289561,165285,349667,283328,622317,Decreased,Behavioural change,,34408,2016,POINT (-5.35359 36.1408),2020-01-12T04:30:40.780,,POINT,-5.35359,36.1408,8.234364101,#N/A
2018,59165,Gladsaxe Kommune,Gladsaxe,Denmark,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,249706,83061,,332767,,Decreased,Behavioural change,,68775,2017,POINT (12.4887 55.7335),2020-01-12T04:30:40.780,,POINT,12.4887,55.7335,4.838487823,49769171
2018,35867,Region Metropolitana de Guadalajara,Guadalajara,Mexico,Mexico,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3900882,4831,598958,4504221,0,This is our first year of calculation,Lack of resource / funding overcome,,1460148,2015,POINT (-103.35 20.6597),2020-01-12T04:30:40.780,120,POINT,-103.35,20.6597,3.084770174,730501018.5
2018,54084,City of Guelph,Guelph,Canada,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1005266,50811,100602,1060158,1156679,Decreased,Technological change,,131794,2016,POINT (80.25 43.55),2020-01-12T04:30:40.780,47,POINT,80.25,43.55,8.044053599,737274611.1
2019,58797,Hørsholm Kommune,Hørsholm,Denmark,Denmark,Europe,"CDP Cities, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,74806,93002,,167808,,Increased,Change in available data,,24856,2015,POINT (12.5049 55.8835),2020-01-12T04:30:42.857,,POINT,12.5049,55.8835,6.751206952,49769171
2019,50543,Halifax Regional Municipality,Halifax,Canada,Canada,North America,"CDP Cities, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"HRM's emissions calculation methodology is entirely based on the GPC Protocol. The 2016 emissions inventory provided here was developed as the baseline inventory for HRM's HalifACT 2050 Climate Action Plan, which represents the municipality's long-term mitigation and adaptation strategy. HRM has retained the technical expertise of a skilled team of external consultants (Sustainability Solutions Group) to develop this inventory using a sophisticated energy & emissions modelling tool called CityInSight. This tool builds a long-term energy & emissions profile for the municipality using population and employment data and projections, detailed energy consumption information based on building archetypes and zoning, induced traffic demand projections and detailed information on energy use/production, waste and wastewater production based on all building stock in the municipality.",No,"CH4, CO2, N20",,,,,,,2357934,3120820,305742,5351364,5648315,Decreased,Improved data accuracy,,441400,2016,POINT (-63.5714 44.6478),2020-01-12T04:30:42.857,,POINT,-63.5714,44.6478,12.12361577,737274611.1
2018,50555,City of Hamilton,Hamilton,Canada,Canada,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,214556952,2749205,0,217306157,0,Do not know,Change in accounting methodology,,550700,2015,POINT (-79.8661 43.25),2020-01-12T04:30:40.780,42,POINT,-79.8661,43.25,394.5998856,737274611.1
